id_municipio,sigla_uf,regiao,taxa_alfabetizacao,prob_risco
2302800,CE,Nordeste,95.0,0.0026750692860189867
3166956,MG,Sudeste,95.99,0.0026719439877979276
2305902,CE,Nordeste,99.54,0.0026621478434898137
3156502,MG,Sudeste,76.83,0.002661569002901051
4117404,PR,Sul,57.5,0.0026583765545337723
5211800,GO,Centro-Oeste,83.96,0.0026580229128349404
3121803,MG,Sudeste,72.13,0.0026233951854937403
5219738,GO,Centro-Oeste,82.91,0.0026138932033519372
3504701,SP,Sudeste,100.0,0.0026114418972223528
2306801,CE,Nordeste,93.88,0.0025895296154974856
3148905,MG,Sudeste,100.0,0.002572806382656553
4125555,PR,Sul,73.08,0.0025531828316285488
2306108,CE,Nordeste,96.76,0.002527459093518872
2308807,CE,Nordeste,92.86,0.0025166993649955536
5221700,GO,Centro-Oeste,97.73,0.0025138681177968433
5214051,GO,Centro-Oeste,94.04,0.0024995480978384837
3133105,MG,Sudeste,84.24,0.002475273177670281
3161908,MG,Sudeste,91.6,0.0024744387602365827
3114501,MG,Sudeste,81.68,0.0024737328326537877
3124708,MG,Sudeste,100.0,0.0024709033156165394
2311264,CE,Nordeste,99.49,0.0024638540910869775
2303931,CE,Nordeste,95.42,0.0024618184100251746
3169059,MG,Sudeste,93.75,0.002457207481888049
3107000,MG,Sudeste,58.22,0.002454098413209317
3119609,MG,Sudeste,59.91,0.0024507447816315225
4125803,PR,Sul,85.66,0.002450015982181806
2313609,CE,Nordeste,95.13,0.002449760801727637
2203420,PI,Nordeste,82.22,0.002429157029240563
5219506,GO,Centro-Oeste,100.0,0.0024157587126245206
3136108,MG,Sudeste,85.58,0.0023892501935207974
5203906,GO,Centro-Oeste,64.95,0.00238220428044095
4121257,PR,Sul,77.23,0.002377775154040943
2300804,CE,Nordeste,94.51,0.002342073804306854
3125200,MG,Sudeste,86.96,0.0023230073840410656
3120805,MG,Sudeste,75.3,0.0022857918979531998
3100708,MG,Sudeste,55.3,0.002245905747677661
4107801,PR,Sul,85.2,0.0022217240132502225
5220603,GO,Centro-Oeste,91.2,0.0022129055099323596
2201572,PI,Nordeste,100.0,0.002202679499500554
5211305,GO,Centro-Oeste,83.26,0.0021899449001273447
3142205,MG,Sudeste,79.2,0.0021798335957335198
2312809,CE,Nordeste,99.12,0.0021726264785667353
5215504,GO,Centro-Oeste,90.09,0.0021664901558687
2312007,CE,Nordeste,98.26,0.0021513133728815158
3151404,MG,Sudeste,85.71,0.0021119338042708984
5218805,GO,Centro-Oeste,89.88,0.0020971037767856357
2306603,CE,Nordeste,99.06,0.0020866729263179624
2302602,CE,Nordeste,94.08,0.0020635406664802733
3147709,MG,Sudeste,78.42,0.002048039432268406
5219605,GO,Centro-Oeste,91.67,0.0020451785653675066
3137106,MG,Sudeste,56.25,0.0020126127470634866
5216908,GO,Centro-Oeste,80.87,0.0019813031245391765
5222005,GO,Centro-Oeste,89.5,0.001976593290259055
3160959,MG,Sudeste,93.62,0.001969972297992055
4102208,PR,Sul,88.32,0.00196069617969902
5216452,GO,Centro-Oeste,77.78,0.001959226146078202
2314003,CE,Nordeste,90.9,0.001866946675268843
2308906,CE,Nordeste,97.77,0.0018638196478942782
5219357,GO,Centro-Oeste,77.97,0.0018518698273631551
2306009,CE,Nordeste,84.18,0.0018435506453631867
2310209,CE,Nordeste,95.08,0.0018318764363563949
5221809,GO,Centro-Oeste,66.86,0.0018207095486014277
5208608,GO,Centro-Oeste,82.28,0.0017772582706887382
2307809,CE,Nordeste,96.66,0.0017669642510471275
3159209,MG,Sudeste,92.49,0.0017493472135268549
5205901,GO,Centro-Oeste,82.63,0.0017434810022001937
3162948,MG,Sudeste,75.22,0.001717640358892966
5215405,GO,Centro-Oeste,96.61,0.00170493571313317
5203203,GO,Centro-Oeste,77.88,0.0016762897231170767
2305233,CE,Nordeste,96.2,0.001647816012500225
