id_municipio,ano,sigla_uf,regiao,prob_atingir_meta,prob_risco,atingiu_observado
1712702,2024,TO,Norte,7.015866677582536e-09,0.9999999929841333,0
1707702,2024,TO,Norte,2.3134744336348918e-08,0.9999999768652557,0
1711951,2024,TO,Norte,6.154040397942839e-08,0.999999938459596,0
2203354,2024,PI,Nordeste,2.2794863100791762e-07,0.999999772051369,0
2800209,2024,SE,Nordeste,3.386800592600975e-07,0.9999996613199408,0
1709807,2024,TO,Norte,4.3651496513251205e-07,0.9999995634850348,0
2919900,2024,BA,Nordeste,5.119175937364604e-07,0.9999994880824062,0
1710706,2024,TO,Norte,5.155927685839679e-07,0.9999994844072314,0
1703008,2024,TO,Norte,5.354859073303208e-07,0.9999994645140927,0
2805109,2024,SE,Nordeste,5.954373575930904e-07,0.9999994045626424,0
2802700,2024,SE,Nordeste,6.103154978094337e-07,0.9999993896845022,0
2805604,2024,SE,Nordeste,6.500512763963992e-07,0.9999993499487236,0
2801504,2024,SE,Nordeste,1.0647126160751631e-06,0.9999989352873839,0
2206654,2024,PI,Nordeste,1.0685780480659947e-06,0.999998931421952,0
1712405,2024,TO,Norte,1.1619175231987876e-06,0.9999988380824768,0
2505204,2024,PB,Nordeste,1.26726827810338e-06,0.9999987327317219,0
1704600,2024,TO,Norte,1.3449753414133648e-06,0.9999986550246586,0
2210904,2024,PI,Nordeste,1.4202776729969066e-06,0.999998579722327,0
2806503,2024,SE,Nordeste,1.4593704489281301e-06,0.9999985406295511,0
2514453,2024,PB,Nordeste,1.8022786742481335e-06,0.9999981977213257,0
2507408,2024,PB,Nordeste,1.8224482595234026e-06,0.9999981775517405,0
2925600,2024,BA,Nordeste,2.0539099360278233e-06,0.999997946090064,0
2912608,2024,BA,Nordeste,2.0826180484045396e-06,0.9999979173819517,0
5005202,2024,MS,Centro-Oeste,2.0850666944013346e-06,0.9999979149333056,0
2802502,2024,SE,Nordeste,2.1834545164768797e-06,0.9999978165454835,0
2933158,2024,BA,Nordeste,2.26184838045924e-06,0.9999977381516195,0
2512721,2024,PB,Nordeste,2.340088115371659e-06,0.9999976599118846,0
2703106,2024,AL,Nordeste,2.4184448493146265e-06,0.9999975815551507,0
2505238,2024,PB,Nordeste,2.7999574485080145e-06,0.9999972000425514,0
1200435,2024,AC,Norte,2.967554904663865e-06,0.9999970324450953,0
3515806,2024,SP,Sudeste,3.0185840208278128e-06,0.9999969814159791,0
2112274,2024,MA,Nordeste,3.048687403987409e-06,0.999996951312596,0
2919108,2024,BA,Nordeste,3.063577768299687e-06,0.9999969364222318,0
1712801,2024,TO,Norte,3.1682117037253476e-06,0.9999968317882962,0
1600501,2024,AP,Norte,3.2641528401997978e-06,0.9999967358471598,0
2500734,2024,PB,Nordeste,3.4992002116761702e-06,0.9999965007997883,0
5005608,2024,MS,Centro-Oeste,3.5563133488224494e-06,0.9999964436866512,0
2929800,2024,BA,Nordeste,3.6009084046894244e-06,0.9999963990915953,0
1703073,2024,TO,Norte,3.7271931616853506e-06,0.9999962728068383,0
2102200,2024,MA,Nordeste,3.728199257855433e-06,0.9999962718007421,0
3529708,2024,SP,Sudeste,3.825786148204164e-06,0.9999961742138518,0
2924207,2024,BA,Nordeste,3.947053161674626e-06,0.9999960529468384,0
2802205,2024,SE,Nordeste,4.063481945143936e-06,0.9999959365180549,0
2707107,2024,AL,Nordeste,4.112773900812391e-06,0.9999958872260992,0
2102507,2024,MA,Nordeste,4.41237162742657e-06,0.9999955876283726,0
1718758,2024,TO,Norte,4.486526747328772e-06,0.9999955134732527,0
2500601,2024,PB,Nordeste,4.726798864258663e-06,0.9999952732011358,0
2901908,2024,BA,Nordeste,4.902032830692746e-06,0.9999950979671693,0
1718659,2024,TO,Norte,5.107812223294649e-06,0.9999948921877767,0
3162450,2024,MG,Sudeste,5.261245150277027e-06,0.9999947387548497,0
3505401,2024,SP,Sudeste,5.274616793991117e-06,0.999994725383206,0
2920809,2024,BA,Nordeste,5.278827181700674e-06,0.9999947211728183,0
2406205,2024,RN,Nordeste,5.290816959818925e-06,0.9999947091830402,0
2902252,2024,BA,Nordeste,5.383577074400553e-06,0.9999946164229256,0
1719004,2024,TO,Norte,5.644888619833127e-06,0.9999943551113801,0
2509057,2024,PB,Nordeste,5.77685319650464e-06,0.9999942231468035,0
2802106,2024,SE,Nordeste,5.997217709827527e-06,0.9999940027822902,0
2805406,2024,SE,Nordeste,6.080839973284933e-06,0.9999939191600267,0
1600105,2024,AP,Norte,6.596533315461703e-06,0.9999934034666845,0
2414456,2024,RN,Nordeste,6.608898961786189e-06,0.9999933911010382,0
5003488,2024,MS,Centro-Oeste,6.838351739432692e-06,0.9999931616482606,0
2604205,2024,PE,Nordeste,6.884841047497514e-06,0.9999931151589525,0
2917003,2024,BA,Nordeste,7.070702453623959e-06,0.9999929292975464,0
2929354,2024,BA,Nordeste,7.078923975312408e-06,0.9999929210760247,0
2804607,2024,SE,Nordeste,7.257740572188826e-06,0.9999927422594278,0
2707404,2024,AL,Nordeste,7.286884378439905e-06,0.9999927131156215,0
5003306,2024,MS,Centro-Oeste,7.333112037202685e-06,0.9999926668879628,0
2806305,2024,SE,Nordeste,7.353369950705658e-06,0.9999926466300493,0
2930501,2024,BA,Nordeste,7.4010618814138945e-06,0.9999925989381185,0
2804508,2024,SE,Nordeste,7.478457659227111e-06,0.9999925215423408,0
2900207,2024,BA,Nordeste,7.570327294353083e-06,0.9999924296727056,0
2804300,2024,SE,Nordeste,7.731853245167645e-06,0.9999922681467548,0
2908903,2024,BA,Nordeste,7.804846124704608e-06,0.9999921951538753,0
2110658,2024,MA,Nordeste,7.887007081502149e-06,0.9999921129929185,0
2703601,2024,AL,Nordeste,8.18256957011329e-06,0.9999918174304299,0
2701308,2024,AL,Nordeste,8.2666698699336e-06,0.99999173333013,0
2514602,2024,PB,Nordeste,8.397089909727576e-06,0.9999916029100903,1
2917334,2024,BA,Nordeste,8.546599178023067e-06,0.999991453400822,0
1703891,2024,TO,Norte,8.645063152221353e-06,0.9999913549368478,0
1713601,2024,TO,Norte,8.691598092157226e-06,0.9999913084019079,0
5108352,2024,MT,Centro-Oeste,8.76397749985506e-06,0.9999912360225002,0
5003207,2024,MS,Centro-Oeste,8.805835478880037e-06,0.9999911941645211,0
